pidlink,sex,age
008220004,3.0,27.0
008220005,1.0,24.0
008220006,3.0,20.0
008225201,1.0,29.0
008225302,3.0,23.0
008230001,1.0,72.0
008230003,1.0,37.0
008234102,3.0,39.0
008240001,1.0,72.0
008240002,3.0,64.0
008240004,3.0,38.0
008240005,1.0,37.0
008240006,3.0,30.0
008240007,3.0,35.0
008243101,1.0,39.0
008244101,1.0,34.0
008250001,3.0,69.0
008250002,3.0,42.0
008250003,1.0,43.0
008250005,3.0,16.0
008254101,1.0,43.0
008260002,3.0,76.0
008260003,1.0,46.0
008260005,3.0,34.0
008260008,3.0,15.0
008265101,1.0,38.0
008270001,1.0,64.0
008270002,3.0,56.0
008270004,3.0,32.0
008270005,3.0,31.0
008270006,1.0,29.0
008270007,3.0,26.0
008270008,3.0,23.0
008270010,3.0,19.0
008273106,1.0,26.0
008274104,3.0,26.0
008274206,1.0,26.0
008275101,1.0,29.0
008275202,1.0,28.0
008280001,1.0,50.0
008280002,3.0,44.0
008280003,3.0,24.0
008280004,1.0,21.0
008280007,3.0,19.0
008285101,1.0,32.0
008285203,1.0,26.0
008290001,1.0,64.0
008290002,3.0,60.0
008290003,1.0,40.0
008290004,3.0,39.0
008290005,3.0,35.0
008290006,1.0,33.0
008290008,3.0,26.0
008290009,1.0,24.0
008290010,3.0,17.0
008293101,1.0,47.0
008293103,3.0,20.0
008293104,3.0,15.0
008294101,1.0,43.0
008294202,3.0,35.0
008295102,3.0,41.0
008295103,1.0,17.0
008295202,1.0,24.0
008300001,1.0,63.0
008300003,3.0,38.0
008300004,1.0,35.0
008300005,1.0,34.0
008300006,3.0,51.0
008303101,1.0,43.0
008304104,3.0,28.0
008304202,3.0,28.0
009010001,1.0,66.0
009010002,3.0,63.0
009010003,3.0,39.0
009010005,3.0,34.0
009010007,3.0,30.0
009010008,3.0,27.0
009014201,1.0,46.0
009014301,1.0,36.0
009014402,1.0,25.0
009020003,1.0,42.0
009020004,3.0,39.0
009020006,1.0,29.0
009020008,3.0,28.0
009024102,3.0,36.0
009024103,1.0,16.0
009025101,1.0,45.0
009030002,1.0,44.0
009033102,3.0,44.0
009033103,1.0,19.0
009033104,1.0,18.0
009033105,3.0,16.0
009040002,3.0,61.0
009040003,1.0,29.0
009040004,1.0,27.0
009050001,1.0,80.0
009050002,3.0,76.0
009050003,3.0,41.0
009050004,3.0,38.0
009050005,3.0,35.0
009050006,1.0,32.0
009050007,3.0,27.0
009050008,3.0,29.0
009053101,1.0,39.0
009053103,1.0,15.0
009054101,1.0,39.0
009054103,3.0,17.0
009054201,1.0,38.0
009055201,1.0,34.0
009060001,3.0,55.0
009060002,3.0,32.0
009060008,1.0,19.0
009064101,1.0,43.0
009070001,1.0,59.0
009070002,3.0,52.0
009070003,1.0,33.0
009070004,3.0,31.0
009070007,1.0,24.0
009070010,1.0,38.0
009070011,3.0,19.0
009070013,3.0,23.0
009074102,3.0,26.0
009074302,3.0,45.0
009074304,3.0,22.0
009075101,1.0,37.0
009080001,1.0,60.0
009080002,3.0,55.0
009080006,3.0,26.0
009080007,3.0,23.0
009080009,1.0,17.0
009084203,1.0,27.0
009090001,1.0,52.0
009090002,3.0,52.0
009090005,1.0,19.0
009090007,3.0,15.0
009110002,3.0,46.0
009110003,1.0,24.0
009110005,1.0,32.0
009110006,1.0,30.0
009110007,1.0,63.0
009110008,3.0,55.0
009110010,1.0,25.0
009110012,3.0,20.0
009110014,3.0,16.0
009115103,1.0,31.0
009120002,3.0,50.0
009120003,3.0,24.0
009120004,1.0,22.0
009120005,1.0,44.0
009120006,3.0,40.0
009125101,1.0,51.0
009125104,1.0,19.0
009125105,1.0,15.0
009140001,1.0,49.0
009140002,3.0,49.0
009140003,1.0,26.0
009140004,3.0,24.0
009140005,1.0,21.0
009140006,1.0,19.0
009140007,3.0,17.0
009140008,3.0,15.0
009150008,1.0,17.0
009150009,1.0,43.0
009160002,3.0,85.0
009160003,1.0,44.0
009160004,3.0,46.0
009160005,3.0,38.0
009164101,1.0,44.0
009170001,1.0,65.0
009170002,3.0,64.0
009170003,3.0,38.0
009170005,1.0,34.0
009170006,3.0,32.0
009170007,1.0,34.0
009170009,3.0,35.0
009174101,1.0,30.0
009175202,3.0,28.0
009180002,3.0,74.0
009180003,3.0,44.0
009180004,1.0,43.0
009180005,3.0,40.0
009180006,1.0,36.0
009183104,3.0,17.0
009183105,3.0,15.0
009183106,1.0,43.0
009183203,1.0,39.0
009190001,3.0,70.0
009190003,1.0,36.0
009190004,1.0,35.0
009190005,1.0,32.0
009193104,3.0,34.0
009194102,3.0,27.0
009194206,3.0,32.0
009200001,1.0,53.0
009200002,3.0,52.0
